variable;variable_old;text;info
ikt_easy_3;Q57_3;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - Ich habe den Eindruck, dass ich durch IKTs in Entscheidungsprozesse mit eingebunden werde.;"{""ImportId"":""QID95_3""}"
ikt_easy_4;Q57_4;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - IKTs dienen in meinem Unternehmen dazu, Tätigkeiten aufzuteilen und an verschiedene Mitarbeiter weiterzugeben.;"{""ImportId"":""QID95_4""}"
ikt_easy_5;Q57_5;Haben Sie das Gefühl, dass durch Ihre derzeit genutzten IKTs Arbeitsprozesse erleichtert werden? - IKTs ermöglichen in meinem Unternehmen, die Ergebnisse der aufgeteilten Tätigkeiten zusammenzufügen.;"{""ImportId"":""QID95_5""}"
q74_1;Q74_1;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich mache mir oft Sorgen darüber, dass mich neue IKT-Software überfordern könnte.";"{""ImportId"":""QID64_1""}"
q74_2;Q74_2;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Mir fällt es schwer, neuer IKT-Software zu vertrauen";"{""ImportId"":""QID64_2""}"
q74_3;Q74_3;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich versuche immer, aktuelle Informationen über Entwicklungen neuer IKT-Software zu bekommen.";"{""ImportId"":""QID64_3""}"
q74_4;Q74_4;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich informiere mich über IKT-Softwareentwicklungen.";"{""ImportId"":""QID64_4""}"
q74_5;Q74_5;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Die Anwendung von IKT-Software ist insgesamt einfach.";"{""ImportId"":""QID64_5""}"
q74_6;Q74_6;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Die Anwendung von IKT-Software ist leicht verständlich";"{""ImportId"":""QID64_6""}"
q74_7;Q74_7;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Bestimmte IKT-Software würde mir helfen, meine täglichen Aufgaben bequemer zu erledigen.";"{""ImportId"":""QID64_7""}"
q74_8;Q74_8;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Bestimmte IKT-Software würde mich dabei unterstützen, meine alltäglichen Aufgaben zu erfüllen.";"{""ImportId"":""QID64_8""}"
q74_9;Q74_9;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich denke, dass die Nutzung von IKT-Software immer mit einem gewissen Risiko verbunden ist.";"{""ImportId"":""QID64_9""}"
q74_10;Q74_10;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich denke, dass IKT-Software Gefahren für mich birgt.";"{""ImportId"":""QID64_10""}"
q74_11;Q74_11;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - IKT-Software würde meine Alltagsroutine stören.";"{""ImportId"":""QID64_11""}"
q74_12;Q74_12;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Die Anwendung von IKT-Software würde mir mehr Nachteile als Vorteile bringen.";"{""ImportId"":""QID64_12""}"
q74_13;Q74_13;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich würde IKT-Software nutzen.";"{""ImportId"":""QID64_13""}"
q74_14;Q74_14;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich würde mir IKT-Software anschaffen.";"{""ImportId"":""QID64_14""}"
q74_15;Q74_15;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich würde gerne Zugang zu IKT-Software haben.";"{""ImportId"":""QID64_15""}"
ikt_help;Q63;"Haben Sie schon mal Tipps zum Umgang oder Empfehlungen zur Nutzung von IKTs erhalten? 
(Zur Erinnerung: Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.)";"{""ImportId"":""QID104""}"
ikt_help_1;Q45_1;Wie häufig erhalten Sie diese Empfehlungen? - Vorgabe des Unternehmens;"{""ImportId"":""QID119_1""}"
ikt_help_2;Q45_2;Wie häufig erhalten Sie diese Empfehlungen? - Vorgesetzte/r;"{""ImportId"":""QID119_2""}"
ikt_help_3;Q45_3;Wie häufig erhalten Sie diese Empfehlungen? - ArbeitskollegInnen;"{""ImportId"":""QID119_3""}"
ikt_help_4;Q45_4;Wie häufig erhalten Sie diese Empfehlungen? - Freunde;"{""ImportId"":""QID119_4""}"
ikt_help_5;Q45_5;Wie häufig erhalten Sie diese Empfehlungen? - Familie;"{""ImportId"":""QID119_5""}"
ikt_help_6;Q45_6;Wie häufig erhalten Sie diese Empfehlungen? - Bekannte;"{""ImportId"":""QID119_6""}"
ikt_help_7;Q45_7;Wie häufig erhalten Sie diese Empfehlungen? - Andere Quellen (z.B. Youtube-Tutorial);"{""ImportId"":""QID119_7""}"
ikt_help_trust_1;Q65_1;Wenn Sie derartige Empfehlungen bekommen: Bitte geben Sie an, wie hoch Ihr Vertrauen in folgenden Fällen ist: - Vorgabe des Unternehmens;"{""ImportId"":""QID105_1""}"
ikt_help_trust_2;Q65_2;Wenn Sie derartige Empfehlungen bekommen: Bitte geben Sie an, wie hoch Ihr Vertrauen in folgenden Fällen ist: - Vorgesetzte/r;"{""ImportId"":""QID105_2""}"
ikt_help_trust_3;Q65_3;Wenn Sie derartige Empfehlungen bekommen: Bitte geben Sie an, wie hoch Ihr Vertrauen in folgenden Fällen ist: - ArbeitskollegInnen;"{""ImportId"":""QID105_3""}"
ikt_help_trust_4;Q65_4;Wenn Sie derartige Empfehlungen bekommen: Bitte geben Sie an, wie hoch Ihr Vertrauen in folgenden Fällen ist: - Freunde;"{""ImportId"":""QID105_4""}"
ikt_help_trust_5;Q65_5;Wenn Sie derartige Empfehlungen bekommen: Bitte geben Sie an, wie hoch Ihr Vertrauen in folgenden Fällen ist: - Familie;"{""ImportId"":""QID105_5""}"
ikt_help_trust_6;Q65_6;Wenn Sie derartige Empfehlungen bekommen: Bitte geben Sie an, wie hoch Ihr Vertrauen in folgenden Fällen ist: - Bekannte;"{""ImportId"":""QID105_6""}"
ikt_help_trust_7;Q65_7;Wenn Sie derartige Empfehlungen bekommen: Bitte geben Sie an, wie hoch Ihr Vertrauen in folgenden Fällen ist: - Andere Quellen (z.B. Youtube-Tutorial);"{""ImportId"":""QID105_7""}"
feel_work_1;Q38_1;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, privates und berufliches voneinander zu trennen.;"{""ImportId"":""QID79_1""}"
feel_work_2;Q38_2;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich bin mit meiner derzeitigen Arbeit zufrieden.;"{""ImportId"":""QID79_2""}"
feel_work_3;Q38_3;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mein Arbeitgeber unterstützt aktiv das mobile Arbeiten.;"{""ImportId"":""QID79_3""}"
feel_work_4;Q38_4;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Beim mobilen Arbeiten bin ich produktiver.;"{""ImportId"":""QID79_4""}"
feel_work_5;Q38_5;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mobiles Arbeiten stört die Effektivität der Arbeit.;"{""ImportId"":""QID79_5""}"
feel_work_6;Q38_6;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Digitalisierung verschlechtert Arbeitsprozesse.;"{""ImportId"":""QID79_6""}"
feel_work_7;Q38_7;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich muss oft zusätzliche Zeit über die formalen Stunden meines Jobs arbeiten.;"{""ImportId"":""QID79_7""}"
feel_work_8;Q38_8;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mit den Arbeitszeiten in meinem Beruf bin ich zufrieden.;"{""ImportId"":""QID79_8""}"
feel_work_9;Q38_9;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, morgens für den Job aufzustehen.;"{""ImportId"":""QID79_9""}"
feel_work_10;Q38_10;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Meine Arbeit macht mir Spaß.;"{""ImportId"":""QID79_10""}"
feel_work_11;Q38_11;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Flexibilität ist in meinem Arbeitsalltag sehr wichtig.;"{""ImportId"":""QID79_11""}"
feel_work_12;Q38_12;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Inhalte meiner Arbeit interessieren mich auch privat.;"{""ImportId"":""QID79_12""}"
feel_time_1;Q41_1;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - unzufrieden:zufrieden;"{""ImportId"":""QID114_1""}"
feel_time_2;Q41_2;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - gelangweilt:enthusiastisch;"{""ImportId"":""QID114_2""}"
feel_time_3;Q41_3;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - deprimiert:fröhlich;"{""ImportId"":""QID114_3""}"
feel_time_4;Q41_4;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - miserabel:hervorragend;"{""ImportId"":""QID114_4""}"
free_time_1;Q42_1;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Zu wissen, dass ich am Folgetag arbeiten muss, stresst mich.;"{""ImportId"":""QID81_1""}"
free_time_2;Q42_2;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Nach Feierabend fühle ich mich geschlaucht.;"{""ImportId"":""QID81_2""}"
free_time_3;Q42_3;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Nach Feierabend erledige ich noch Aufgaben im Haushalt oder treffe mich mit Freunden.;"{""ImportId"":""QID81_3""}"
free_time_4;Q42_4;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Auch außerhalb meiner Arbeitszeit bin ich für meine Kollegen erreichbar und springe spontan ein oder helfe.;"{""ImportId"":""QID81_4""}"
free_time_5;Q42_5;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Die Arbeit macht mir Spaß und ich mache mir gerne auch in meiner Freizeit Gedanken über Projekte oder ähnliches.;"{""ImportId"":""QID81_5""}"
free_time_6;Q42_6;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Ich bin erleichtert, wenn das Wochenende bevorsteht.;"{""ImportId"":""QID81_6""}"
free_time_7;Q42_7;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Ich denke auch in meiner Freizeit über die Arbeit nach.;"{""ImportId"":""QID81_7""}"
free_time_8;Q42_8;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Mir fällt es leicht, nach meiner Arbeitszeit abzuschalten.;"{""ImportId"":""QID81_8""}"
free_time_9;Q42_9;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Meine Arbeitsstelle bietet mir genügend Freiheiten.;"{""ImportId"":""QID81_9""}"
work_time_free;Q44;Ich kann mir meine Arbeitszeit frei einteilen.;"{""ImportId"":""QID82""}"
flex_feel_1;Q46_1;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Eine freie Einteilung der Arbeitszeit ermöglicht einen leichteren Alltag.;"{""ImportId"":""QID83_1""}"
flex_feel_2;Q46_2;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Die Arbeit frei einzuteilen verbessert meine persönlichen Routinen.;"{""ImportId"":""QID83_3""}"
flex_feel_3;Q46_3;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Um produktiv arbeiten zu können, benötige ich feste Strukturen.;"{""ImportId"":""QID83_4""}"
flex_feel_4;Q46_4;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Durch Freiheiten bei der Einteilung der Arbeitszeit verliere ich schnell den Überblick über meinen tatsächlichen Arbeitsaufwand.;"{""ImportId"":""QID83_5""}"
ikt_rate_1;Q48_1;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich wurde in die von mir genutzten IKTs eingeführt.;"{""ImportId"":""QID89_1""}"
ikt_rate_2;Q48_2;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich kann die Systeme sicher bedienen.;"{""ImportId"":""QID89_2""}"
ikt_rate_3;Q48_3;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Die mir zur Verfügung gestellten Tools ermöglichen es mir, meine Arbeit gut zu erledigen.;"{""ImportId"":""QID89_3""}"
ikt_rate_4;Q48_4;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich bin mit den mir zur Verfügung stehenden IKTs vollkommen zufrieden.;"{""ImportId"":""QID89_4""}"
ikt_rate_5;Q48_5;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich habe das Gefühl, dass die IKTs zu meiner Arbeitszufriedenheit beitragen.;"{""ImportId"":""QID89_5""}"
attitude_company_1;Q50_1;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich fühle mich in die Arbeitsprozesse vollständig integriert.;"{""ImportId"":""QID90_1""}"
attitude_company_2;Q50_2;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich werde auch von unterwegs  in Arbeitsprozesse mit eingebunden.;"{""ImportId"":""QID90_2""}"
attitude_company_3;Q50_3;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Mir fällt es schwer, mich mit der Unternehmenskultur zu identifizieren.;"{""ImportId"":""QID90_3""}"
attitude_company_4;Q50_4;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Die genutzten Tools integrieren mich besser in die Arbeitsprozesse.;"{""ImportId"":""QID90_4""}"
attitude_company_5;Q50_5;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Im Allgemeinen bin ich mit meiner Arbeit zufrieden.;"{""ImportId"":""QID90_5""}"
q_relevantidduplicate;Q_RelevantIDDuplicate;Q_RelevantIDDuplicate;"{""ImportId"":""Q_RelevantIDDuplicate""}"
q_ballotboxstuffing;Q_BallotBoxStuffing;Q_BallotBoxStuffing;"{""ImportId"":""Q_BallotBoxStuffing""}"
q_relevantidduplicatescore;Q_RelevantIDDuplicateScore;Q_RelevantIDDuplicateScore;"{""ImportId"":""Q_RelevantIDDuplicateScore""}"
q_relevantidfraudscore;Q_RelevantIDFraudScore;Q_RelevantIDFraudScore;"{""ImportId"":""Q_RelevantIDFraudScore""}"
q_totalduration;Q_TotalDuration;Q_TotalDuration;"{""ImportId"":""Q_TotalDuration""}"
